crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall
Minor Pulses,2.28,1.73,2.8299999,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar,523.42000429,43.61833369083333
Minor Pulses,4.5599999,4.1900001,3.9560001,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut,498.64999811,41.55416650916667
Minor Pulses,6.3200002,5.9200001,6.5819998,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar,,
Minor Pulses,8.7799997,7.3200002,14.222,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh,530.5699908,44.214165900000005
Minor Pulses,2.1700001,1.0599999,2.4389999,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura,347.2599942,28.93833285
Minor Pulses,1.86,1.8099999,3.079,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra,283.66999799,23.639166499166667
Minor Pulses,8.2600002,9.0600004,7.6259999,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri,591.7799908998,49.31499924165001
Minor Pulses,9.8999996,7.73,9.2620001,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah,479.749997,39.979166416666665
Minor Pulses,12.04,14.76,1.363,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly,864.510008918,72.04250074316667
Minor Pulses,49.529999,34.16,9.6499996,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun,699.85001201,58.32083433416667
Minor Pulses,14.18,11.67,2.335,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad,948.91999902,79.076666585
Minor Pulses,33.830002,30.530001,1.6339999,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur,848.499998894,70.70833324116667
Minor Pulses,2.78,4.1300001,0.31299999,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit,1061.89000439,88.49083369916667
Minor Pulses,8.0100002,6.8800001,1.921,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur,901.4699978098,75.12249981748333
