crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,total_rainfall,average_rainfall,salinity_alkalinity_percent
Minor Pulses,65.029999,54.73,8.6599998,154,2017,10,Rajasthan,30476.0,14084.0,346.0,Jhalawar,726.37000012,60.530833343333335,0.072560402
Minor Pulses,138.81499772499998,75.172498675,9.78924999925,156,2017,10,Rajasthan,35672.0,17058.0,1783.0,Jodhpur,272.87999803,22.739999835833334,1.93776392
Minor Pulses,138.81499772499998,75.172498675,0.13,157,2017,10,Rajasthan,82586.0,36328.0,1863.0,Kota,577.93998931,48.161665775833335,0.214777129
Minor Pulses,138.81499772499998,75.172498675,3.8499999,158,2017,10,Rajasthan,24470.0,13532.0,1394.0,Nagaur,366.3700035,30.530833625,2.442048603
Minor Pulses,138.81499772499998,68.75,0.02,159,2017,10,Rajasthan,13748.0,11119.0,604.0,Pali,605.68000823,50.473334019166664,40.158188706749996
Minor Pulses,73.010002,25.42,0.23,160,2017,10,Rajasthan,39972.0,12592.0,332.0,Swami Madhopur,509.739585164125,42.47829876367708,8.129109106375
Minor Pulses,83.099998,36.779999,2.97,161,2017,10,Rajasthan,15594.0,5243.0,286.0,Sikar,333.49999611,27.791666342499997,3.325295158
Minor Pulses,14.2,0.63999999,0.059999999,162,2017,10,Rajasthan,14531.0,4303.0,406.0,Sirohi,1354.209998899,112.85083324158335,7.913595042
Minor Pulses,138.81499772499998,75.172498675,1.98,163,2017,10,Rajasthan,22553.0,9945.0,209.0,Tonk,418.95999951,34.9133332925,2.490306499
Minor Pulses,16.379999,10.59,3.9159999,164,2017,10,Rajasthan,34494.0,10333.0,2659.0,Udaipur,310.54001208,25.87833434,0.189476333
Minor Pulses,1.6,1.6,0.34,165,2017,9,Punjab,87626.0,16847.0,2293.0,Gurdaspur,102.37001438140032,15.879725526609704,0.115601796
Minor Pulses,6.0999999,4.3000002,2.3399999,166,2017,9,Punjab,137546.0,37153.0,5623.0,Amritsar,102.37001438140032,15.879725526609704,2.620032594
Minor Pulses,0.30000001,0.30000001,0.30000001,167,2017,9,Punjab,43368.0,6625.0,2281.0,Kapurthala,102.37001438140032,15.879725526609704,13.36971351
Minor Pulses,0.72000003,0.72000003,0.035999998,168,2017,9,Punjab,84815.0,29066.0,4517.0,Jalandhar,102.37001438140032,15.879725526609704,0.0
Minor Pulses,0.38,0.38,0.124,169,2017,9,Punjab,55772.0,21295.0,3397.0,Hoshiarpur,102.37001438140032,15.879725526609704,5.393188916
Minor Pulses,1.35,0.89999998,0.41,170,2017,9,Punjab,27850.0,8908.0,2929.0,Roopnagar / Ropar,102.37001438140032,15.879725526609704,3.208414553
Minor Pulses,2.5899999,2.1600001,0.47799999,171,2017,9,Punjab,162561.25,26004.0,2370.0,Ludhiana,102.37001438140032,15.879725526609704,0.650642988
Minor Pulses,4.1300001,3.71,1.5549999,172,2017,9,Punjab,162561.25,61477.0,8041.0,Ferozpur,102.37001438140032,15.879725526609704,3.208414553
Minor Pulses,2.77,2.3900001,0.51499999,174,2017,9,Punjab,162561.25,33795.0,9297.0,Bhatinda,102.37001438140032,15.879725526609704,3.208414553
Minor Pulses,3.3499999,3.8299999,0.85399997,175,2017,9,Punjab,139068.0,36351.0,4210.0,Sangrur,102.37001438140032,15.879725526609704,0.4048583
Minor Pulses,2.51,1.51,0.63800001,176,2017,9,Punjab,158811.0,21365.0,6382.0,Patiala,102.37001438140032,15.879725526609704,3.11327832
Minor Pulses,14.2,24.690001,3.0,177,2017,4,Haryana,162561.25,63055.5,14466.0,Hissar,950.1120599999999,79.17600499999999,40.067960803333335
Minor Pulses,1.3,17.1,1.3,180,2017,4,Haryana,86086.0,26452.0,4543.0,Gurgaon,950.1120599999999,79.17600499999999,40.067960803333335
Minor Pulses,1.91,16.5,1.87,182,2017,4,Haryana,69467.0,28506.0,3232.0,Mahendragarh / Narnaul,950.1120599999999,79.17600499999999,40.067960803333335
Minor Pulses,0.69999999,8.5,0.0,183,2017,4,Haryana,110935.0,24676.0,5835.0,Ambala,1105.7457239999999,92.14547699999999,0.0
Minor Pulses,0.89999998,17.0,0.89999998,184,2017,4,Haryana,162561.25,53753.0,9657.0,Karnal,950.113308,79.176109,40.158188706749996
Minor Pulses,1.5,11.0,1.5,186,2017,4,Haryana,119225.0,31168.0,3532.0,Rohtak,794.4771479999999,66.206429,23.60847211
Minor Pulses,5.1900001,4.5100002,2.773,189,2017,12,Uttar Pradesh,74705.0,22791.0,3929.0,Saharanpur,688.9799995999999,57.41499996666666,26.1007569
