state,district,total_rainfall,average_rainfall
Odisha,Dhenkanal,701.4099908000001,58.45083256666667
Odisha,Gajapati,646.159999989,53.84666666575
Odisha,Ganjam,715.979994,59.6649995
Odisha,Jagatsinghapur,1368.2600129999998,114.02166774999999
Odisha,Jajapur,786.20999081,65.51749923416666
Odisha,Jharsuguda,888.7299907,74.06083255833333
Odisha,Kalahandi,723.8800083,60.323334025
Odisha,Kandhamal,731.04000299,60.92000024916666
Odisha,Kendrapara,1022.5499943899999,85.21249953249999
Odisha,Kendujhar,720.47001802,60.03916816833333
Odisha,Khordha,1383.31998701,115.27666558416666
Odisha,Koraput,1312.4799999,109.37333332499999
Odisha,Malkangiri,1748.4299904,145.7024992
Odisha,Mayurbhanj,867.6999920000001,72.30833266666667
Odisha,Nabarangpur,1266.9099909,105.57583257499999
Odisha,Nayagarh,1128.480026,94.04000216666667
Odisha,Nuapada,686.5699857899999,57.21416548249999
Odisha,Puri,1499.92001001,124.9933341675
Odisha,Rayagada,642.189986,53.51583216666666
Odisha,Sambalpur,763.4099881,63.61749900833333
Odisha,Sonepur,428.0299991,35.66916659166667
Odisha,Sundargarh,776.1800029,64.68166690833333
Puducherry,Karaikal,1803.0314400000002,150.25262
Puducherry,Mahe,2647.54284,220.62857
Puducherry,Pondicherry,1637.2896,136.4408
Puducherry,Yanam,2604.13152,217.01095999999998
Punjab,Amritsar,20.6200009996,1.7183334166333333
Punjab,Barnala,3.0399999008,0.25333332506666667
Punjab,Bathinda,5.079999898600001,0.42333332488333336
Punjab,Faridkot,14.840000001,1.23666666675
Punjab,Fatehgarh Sahib,7.1999998199999995,0.599999985
Punjab,Fazilka,14.5399999788,1.2116666648999999
Punjab,Ferozepur,14.5399999788,1.2116666648999999
Punjab,Gurdaspur,15.149999998,1.2624999998333333
Punjab,Hoshiarpur,26.839999978799998,2.2366666649
Punjab,Jalandhar,39.559997999800004,3.2966664999833335
Punjab,Kapurthala,41.750000019,3.47916666825
Punjab,Ludhiana,7.9399999988,0.6616666665666667
Punjab,Malerkotla,2.9999999996,0.24999999996666666
Punjab,Mansa,7.009999999,0.5841666665833333
Punjab,Moga,24.8563606676,2.0713633889666667
Punjab,Pathankot,15.149999998,1.2624999998333333
Punjab,Patiala,11.351529706,0.9459608088333334
Punjab,Rupnagar,14.839999969,1.2366666640833335
Punjab,S.A.S Nagar,16.720000001000002,1.3933333334166669
Punjab,Sangrur,2.9999999996,0.24999999996666666
Punjab,Shahid Bhagat Singh Nagar,17.6699999888,1.4724999990666667
Punjab,Sri Muktsar Sahib,9.1500000988,0.7625000082333333
Punjab,Tarn Taran,30.002095699999998,2.5001746416666664
Rajasthan,Ajmer,523.70000111,43.64166675916667
Rajasthan,Alwar,552.47000972,46.03916747666667
Rajasthan,Banswara,69.99000089,5.832500074166667
Rajasthan,Baran,563.66999847,46.9724998725
Rajasthan,Barmer,711.4000089,59.283334075
Rajasthan,Bharatpur,482.69999052000003,40.22499921
Rajasthan,Bhilwara,571.61000143,47.63416678583334
Rajasthan,Bikaner,303.1700092,25.26416743333333
Rajasthan,Bundi,569.87999891,47.48999990916667
Rajasthan,Chittorgarh,601.61000613,50.1341671775
